DRUG_Common_name	interaction_score	n_interactions	n_target_interactions	target_profile_interaction_specificity	is_profile_active_drug	AOC1	AOC3	DDC	HTR1A	HTR1B	HTR1D	HTR1E	HTR1F	HTR2A	HTR2B	HTR2C	HTR3A	HTR3B	HTR3C	HTR3D	HTR3E	HTR4	HTR5A	HTR6	HTR7	IL4I1	MAOA	MAOB
(13r,15s)-13-methyl-16-oxa-8,9,12,22,24-pentaazahexacyclo[15.6.2.16,9.1,12,15.0,2,7.0,21,25]heptacosa-1(24),2,4,6,17(25),18,20-heptaene-23,26-dione	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(17beta)-17-(cyanomethyl)-2-methoxyestra-1(10),2,4-trien-3-yl sulfamate	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1e)-5-(1-piperidin-4-yl-3-pyridin-4-yl-1h-pyrazol-4-yl)-2,3-dihydro-1h-inden-1-one oxime	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1h-indol-3-yl)-(2-mercapto-ethoxyimino)-acetic acid	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1n)-4-n-butoxyphenylsulfonyl-(2r)-n-hydroxycarboxamido-(4s)-methanesulfonylamino-pyrrolidine	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1r,2r,3r,4s,5r)-4-(benzylamino)-5-(methylthio)cyclopentane-1,2,3-triol	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1r,2r,3s,4r,6s)-3,4,6-trihydroxy-5-{[(s)-hydroxy(3-hydroxy-2-oxopropoxy)phosphoryl]oxy}-1,2-cyclohexanediyl bis[dihydrogen (phosphate)]	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1r,2r)-n-(2-aminoethyl)-2-{[(4-methoxyphenyl)sulfonyl]methyl}cyclohexanecarboxamide	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1r,2s)-2-phenylcyclopropanaminium	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1r,3r)-5-[(2e)-3-{(1s,3r)-2,2,3-trimethyl-3-[6,6,6-trifluoro-5-hydroxy-5-(trifluoromethyl)hex-3-yn-1-yl]cyclopentyl}prop-2-en-1-ylidene]cyclohexane-1,3-diol	0	2	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1r)-1-{[(4'-methoxy-1,1'-biphenyl-4-yl)sulfonyl]amino}-2-methylpropylphosphonic acid	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1r)-1,2,2-trimethylpropyl (r)-methylphosphinate	0	3	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1r)-2-[(cyanomethyl)amino]-1-({[2-(difluoromethoxy)benzyl]sulfonyl}methyl)-2-oxoethyl morpholine-4-carboxylate	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1r)-2-[(diaminomethylene)amino]-1-{4-[(4r)-4-(hydroxymethyl)-1,3,2-dioxaborolan-2-yl]phenyl}ethyl nicotinate	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1r)-2-amino-1-[3-(trifluoromethyl)phenyl]ethanol	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1r)-menthyl hexyl phosphonate group	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1r)-n,6-dihydroxy-7-methoxy-2-[(4-methoxyphenyl)sulfonyl]-1,2,3,4-tetrahydroisoquinoline-1-carboxamide	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1s,2r,5s)-5-[3-(trifluoromethyl)-5,6-dihydro[1,2,4]triazolo[4,3-a]pyrazin-7(8h)-yl]-2-(2,4,5-trifluorophenyl)cyclohexanamine	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1s,2s,3r,4s,5s)-2,3,4-trihydroxy-5-(hydroxymethyl)cyclohexyl (1e)-2-phenyl-n-(sulfooxy)ethanimidothioate	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1s,2s,3r,6r)-4-(hydroxymethyl)-6-(octylamino)cyclohex-4-ene-1,2,3-triol	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1s,2s,5s)2-(4-glutaridylbenzyl)-5-phenyl-1-cyclohexanol	0	2	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1s,3r,4s,5s,7s)-4-{[2-(4-methoxyphenoxy)-2-methylpropanoyl]amino}adamantane-1-carboxamide	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1s,3r,6s)-4-oxo-6-{4-[(2-phenylquinolin-4-yl)methoxy]phenyl}-5-azaspiro[2.4]heptane-1-carboxylic acid	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1s,3s,5s)-2-{(2s)-2-amino-2-[(1r,3s,5r,7s)-3-hydroxytricyclo[3.3.1.1~3,7~]dec-1-yl]acetyl}-2-azabicyclo[3.1.0]hexane-3-carbonitrile	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1s,4r,9s)-5-(trifluoromethyl)-1,2,3,4-tetrahydro-1,4-methanonaphthalen-9-amine	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1s,5s,7r)-n~7~-(biphenyl-4-ylmethyl)-n~3~-hydroxy-6,8-dioxa-3-azabicyclo[3.2.1]octane-3,7-dicarboxamide	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1s,7s,8s,8ar)-1,2,3,7,8,8a-hexahydro-7-methyl-8-[2-[(2r,4r)-tetrahydro-4-hy droxy-6-oxo-2h-pyran-2-yl]ethyl]-1-naphthalenol	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1s)-1-(1h-indol-3-ylmethyl)-2-(2-pyridin-4-yl-[1,7]naphtyridin-5-yloxy)-ehylamine	0	2	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1s)-1-(3-chlorophenyl)-2-oxo-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1s)-1-{[(4'-methoxy-1,1'-biphenyl-4-yl)sulfonyl]amino}-2-methylpropylphosphonic acid	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1s)-1-cyclopropyl-2-[(2s)-4-(2,5-difluorophenyl)-2-phenyl-2,5-dihydro-1h-pyrrol-1-yl]-2-oxoethanamine	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1s)-1,2,3,4-tetrahydro-benzo[c]phenanthrene-2,3,4-triol	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1s)-2-(1h-indol-3-yl)-1-[({5-[(e)-2-pyridin-4-ylvinyl]pyridin-3-yl}oxy)methyl]ethylamine	0	2	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1s)-2-[(2s,5r)-2-(aminomethyl)-5-ethynylpyrrolidin-1-yl]-1-cyclopentyl-2-oxoethanamine	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1s)-2-[(2s,5r)-2-(aminomethyl)-5-prop-1-yn-1-ylpyrrolidin-1-yl]-1-cyclopentyl-2-oxoethanamine	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1s)-2-oxo-1-phenyl-2-[(1,3,4-trioxo-1,2,3,4-tetrahydroisoquinolin-5-yl)amino]ethyl acetate	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1s)-menthyl hexyl phosphonate group	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1z)-4-(4-fluorophenyl)-2-methylidenebutan-1-imine	0	1	1	1	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2-{[(4-bromo-2-fluorobenzyl)amino]carbonyl}-5-chlorophenoxy)acetic acid	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2-amino-3-phenyl-bicyclo[2.2.1]hept-2-yl)-phenyl-methanone	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2-bromoethyl)(2-'formyl-4'-aminophenyl) acetate	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2-carbamoylmethyl-5-propyl-octahydro-indol-7-yl)acetic acid	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2,2-diphosphonoethyl)(dodecyl)dimethylphosphonium	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(20s)-19,20,21,22-tetrahydro-19-oxo-5h-18,20-ethano-12,14-etheno-6,10-metheno-18h-benz[d]imidazo[4,3-k][1,6,9,12]oxatriaza-cyclooctadecosine-9-carbonitrile	0	2	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(20s)-19,20,22,23-tetrahydro-19-oxo-5h,21h-18,20-ethano-12,14-etheno-6,10-methenobenz[d]imidazo[4,3-l][1,6,9,13]oxatriazacyclonoadecosine-9-carbonitrile	0	2	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(21s)-1aza-4,4-dimethyl-6,19-dioxa-2,3,7,20-tetraoxobicyclo[19.4.0] pentacosane	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2e,3s)-3-hydroxy-5'-[(4-hydroxypiperidin-1-yl)sulfonyl]-3-methyl-1,3-dihydro-2,3'-biindol-2'(1'h)-one	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2e,4e)-11-methoxy-3,7,11-trimethyldodeca-2,4-dienoic acid	0	3	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2e)-1-[2-hydroxy-4-methoxy-5-(3-methylbut-2-en-1-yl)phenyl]-3-(4-hydroxyphenyl)prop-2-en-1-one	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2e)-3-(2-oct-1-yn-1-ylphenyl)acrylic acid	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2e)-3-(3,4-dihydroxyphenyl)-2-iminopropanoic acid	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2e)-n-{4-[(3-bromophenyl)amino]quinazolin-6-yl}-4-(dimethylamino)but-2-enamide	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2e)-n-hydroxy-3-[1-methyl-4-(phenylacetyl)-1h-pyrrol-2-yl]prop-2-enamide	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r,3r,4r,5s)-2-(hydroxymethyl)-1-nonylpiperidine-3,4,5-triol	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r,3r,4s,5r,6e)-3,4,5-trihydroxy-n-[(3s,6r)-6-hydroxy-2-oxo-3-azepanyl]-2-methoxy-8,8-dimethyl-6-nonenamide	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r,3r,4s,5r)-2-[6-amino-8-[(3,4-dichlorophenyl)methylamino]purin-9-yl]-5-(hydroxymethyl)oxolane-3,4-diol	0	2	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r,3r,4s,5r)-2-acetamido-3,4-dihydroxy-5-hydroxymethyl-piperidine	0	2	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r,3r,4s)-3-(4-hydroxyphenyl)-4-methyl-2-[4-(2-pyrrolidin-1-ylethoxy)phenyl]chroman-6-ol	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r,3r)-2,3-dihydroxy-4-oxo-4-(propylamino)butanoic acid	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r,3r)-7-(methylsulfonyl)-3-(2,4,5-trifluorophenyl)-1,2,3,4-tetrahydropyrido[1,2-a]benzimidazol-2-amine	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r,3r)-n^1^-[(1s)-2,2-dimethyl-1-(methylcarbamoyl)propyl]-n^4^-hydroxy-2-(2-methylpropyl)-3-{[(1,3-thiazol-2-ylcarbonyl)amino]methyl}butanediamide	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r,6s)-6-{[methyl(3,4,5-trimethoxyphenyl)amino]methyl}-1,2,5,6,7,8-hexahydroquinazoline-2,4-diamine	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)-({4-[amino(imino)methyl]phenyl}amino){5-ethoxy-2-fluoro-3-[(3r)-tetrahydrofuran-3-yloxy]phenyl}aceticacid	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)-1-(2,6-dimethylphenoxy)propan-2-amine	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)-1-(dimethylamino)-3-{4-[(6-{[2-fluoro-5-(trifluoromethyl)phenyl]amino}pyrimidin-4-yl)amino]phenoxy}propan-2-ol	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)-1-[(4-tert-butylphenyl)sulfonyl]-2-methyl-4-(4-nitrophenyl)piperazine	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)-1-[(5,6-diphenyl-7h-pyrrolo[2,3-d]pyrimidin-4-yl)amino]propan-2-ol	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)-1-[4-({4-[(2,5-dichlorophenyl)amino]-2-pyrimidinyl}amino)phenoxy]-3-(dimethylamino)-2-propanol	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)-1-[4-({6-[(2,6-difluorophenyl)amino]-4-pyrimidinyl}amino)phenoxy]-3-(dimethylamino)-2-propanol	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)-1-{4-[(4-anilino-5-bromo-2-pyrimidinyl)amino]phenoxy}-3-(dimethylamino)-2-propanol	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)-2-({6-[benzyl(methyl)amino]-9-isopropyl-9h-purin-2-yl}amino)butan-1-ol	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)-2-({9-(1-methylethyl)-6-[(4-pyridin-2-ylbenzyl)amino]-9h-purin-2-yl}amino)butan-1-ol	0	2	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)-2-(3-biphenylyl)-n-{(2r)-2-hydroxy-3-[(2-pyridinylsulfonyl)amino]propyl}-4-methylpentanamide	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)-2-(4-chlorophenyl)-2-[4-(1h-pyrazol-4-yl)phenyl]ethanamine	0	2	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)-2-(4-chlorophenyl)-2-phenylethanamine	0	2	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)-2-(5-chloro-2-thienyl)-n-{(3s)-1-[(1s)-1-methyl-2-morpholin-4-yl-2-oxoethyl]-2-oxopyrrolidin-3-yl}propene-1-sulfonamide	0	2	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)-2-{[4-(benzylamino)-8-(1-methylethyl)pyrazolo[1,5-a][1,3,5]triazin-2-yl]amino}butan-1-ol	0	2	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)-2-acetamido-3-(octadecyloxy)propyl 2-(methylsulfanyl)ethyl hydrogen phosphate	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)-2-amino-3,3,3-trifluoro-n-hydroxy-2-{[(4-phenoxyphenyl)sulfonyl]methyl}propanamide	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)-2-benzyl-3-nitropropanoic acid	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)-3-{[(4z)-5,6-diphenyl-6,7-dihydro-4h-pyrrolo[2,3-d]pyrimidin-4-ylidene]amino}propane-1,2-diol	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)-3-{[(benzylamino)carbonyl]amino}-2-hydroxypropanoic acid	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)-3-{[{[(2s)-2,3-dihydroxypropyl]oxy}(hydroxy)phosphoryl]oxy}-2-[(9e)-hexadec-9-enoyloxy]propyl (9e)-octadec-9-enoate	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)-3-methyl-1-phenyl-2-butanyl [(2s)-1-oxo-2-hexanyl]carbamate	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)-4-(2-benzoyl-1,2-diazepan-1-yl)-4-oxo-1-(2,4,5-trifluorophenyl)butan-2-amine	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)-4-[(8r)-8-methyl-2-(trifluoromethyl)-5,6-dihydro[1,2,4]triazolo[1,5-a]pyrazin-7(8h)-yl]-4-oxo-1-(2,4,5-trifluorophenyl)butan-2-amine	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)-4,4-dihydroxy-5-nitro-2-(phenylmethyl)pentanoic acid	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)-n-[(2r)-2-(dihydroxyboryl)-1-l-prolylpyrrolidin-2-yl]-n-[(5r)-5-(dihydroxyboryl)-1-l-prolylpyrrolidin-2-yl]-l-prolinamide	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)-n-{4-[ethyl(phenyl)sulfamoyl]-2-methylphenyl}-3,3,3-trifluoro-2-hydroxy-2-methylpropanamide	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)-n-hydroxy-2-[(3s)-3-methyl-3-{4-[(2-methylquinolin-4-yl)methoxy]phenyl}-2-oxopyrrolidin-1-yl]propanamide	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)-n~4~-hydroxy-2-(3-hydroxybenzyl)-n~1~-[(1s,2r)-2-hydroxy-2,3-dihydro-1h-inden-1-yl]butanediamide	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s,3r,4s,5s)-3,4-dihydroxy-2-[(methylsulfanyl)methyl]-5-(4-oxo-4,5-dihydro-1h-pyrrolo[3,2-d]pyrimidin-7-yl)pyrrolidinium	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s,3r)-2-[[4-(tert-butylcarbamoyl)piperazine-1-carbonyl]amino]-6-(diaminomethylideneamino)-3-formylhexanoic acid	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s,3r)-3-(6-amino-9h-purin-9-yl)nonan-2-ol	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s,3r)-3-amino-2-hydroxy-5-(ethylsulfanyl)pentanoyl-((s)-(-)-(1-naphthyl)ethyl)amide	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s,3s,4e,6e,8s,9s)-3-amino-9-methoxy-2,6,8-trimethyl-10-phenyldeca-4,6-dienoic acid	0	3	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s,3s,4r,5s)-2-(4-amino-4,5-dihydro-1h-pyrrolo[3,2-d]pyrimidin-7-yl)-5-[(methylsulfanyl)methyl]-3,4-pyrrolidinediol	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s,3s)-3-{3-[2-chloro-4-(methylsulfonyl)phenyl]-1,2,4-oxadiazol-5-yl}-1-cyclopentylidene-4-cyclopropyl-1-fluorobutan-2-amine	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s,3s)-3-{3-[4-(methylsulfonyl)phenyl]-1,2,4-oxadiazol-5-yl}-1-oxo-1-pyrrolidin-1-ylbutan-2-amine	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s,3s)-3-amino-4-(3,3-difluoropyrrolidin-1-yl)-n,n-dimethyl-4-oxo-2-(trans-4-[1,2,4]triazolo[1,5-a]pyridin-6-ylcyclohexyl)butanamide	0	1	0	0	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
