	ligand_pubchem_sid	ligand_pubchem_cid	ligand name	ligand_type	Receptor_id	Receptor_uniprot	Receptor_location	Type	target_species	pubmed_id	Other.DB	LRID	pipe_genesymbol
127	135651541	5282411.0	PGI2	Metabolite	5734	P35408	Membrane	sMOL-receptor interaction	Human	10952683	IUPHAR	LR08313	PTGER4
128	135651381	5757.0	17beta-estradiol	Metabolite	2099	P03372	Membrane	sMOL-receptor interaction	Human	9048584	IUPHAR	LR08314	ESR1
129	135651483	5756.0	estriol	Metabolite	2099	P03372	Membrane	sMOL-receptor interaction	Human	9048584	IUPHAR	LR08315	ESR1
130	135651484	5870.0	estrone	Metabolite	2099	P03372	Membrane	sMOL-receptor interaction	Human	9048584	IUPHAR	LR08316	ESR1
131	135651436	5280934.0	alpha-linolenic acid	Metabolite	2864	O14842	Membrane	sMOL-receptor interaction	Human	12496284;12565875;12629551	IUPHAR	LR08317	FFAR1
132	135651477	445580.0	docosahexaenoic acid	Metabolite	2864	O14842	Membrane	sMOL-receptor interaction	Human	12496284;12629551	IUPHAR	LR08318	FFAR1
133	178100239	11005.0	myristic acid	Metabolite	2864	O14842	Membrane	sMOL-receptor interaction	Human	12496284;12565875;12629551	IUPHAR	LR08319	FFAR1
134	135651531	445639.0	oleic acid	Metabolite	2864	O14842	Membrane	sMOL-receptor interaction	Human	12496284;12565875;12629551	IUPHAR	LR08320	FFAR1
135	178103114	81326.0	1-methylcyclopropanecarboxylic acid	Synthetic organic	2867	O15552	Membrane	sMOL-receptor interaction	Human	21220428	IUPHAR	LR08321	FFAR2
136	135651422	176.0	acetic acid	Metabolite	2867	O15552	Membrane	sMOL-receptor interaction	Human	12496283;12684041;12711604;21220428	IUPHAR	LR08322	FFAR2
137	135650039	264.0	butyric acid	Metabolite	2867	O15552	Membrane	sMOL-receptor interaction	Human	12496283;12684041;12711604;21220428	IUPHAR	LR08323	FFAR2
138	178103113	125468.0	trans-2-methylcrotonic acid	Synthetic organic	2867	O15552	Membrane	sMOL-receptor interaction	Human	21220428	IUPHAR	LR08324	FFAR2
139	135651552	1032.0	propanoic acid	Metabolite	2867	O15552	Membrane	sMOL-receptor interaction	Human	12496283;12684041;12711604;21220428	IUPHAR	LR08325	FFAR2
140	178103114	81326.0	1-methylcyclopropanecarboxylic acid	Synthetic organic	2865	O14843	Membrane	sMOL-receptor interaction	Human	21220428	IUPHAR	LR08326	FFAR3
141	135650039	264.0	butyric acid	Metabolite	2865	O14843	Membrane	sMOL-receptor interaction	Human	12496283;12711604;14722361;21220428	IUPHAR	LR08327	FFAR3
142	135651552	1032.0	propanoic acid	Metabolite	2865	O14843	Membrane	sMOL-receptor interaction	Human	12496283;12711604;14722361;21220428	IUPHAR	LR08328	FFAR3
143	135651436	5280934.0	alpha-linolenic acid	Metabolite	338557	Q5NUL3	Membrane	sMOL-receptor interaction	Human	22519963	IUPHAR	LR08329	FFAR4
144	135651503	5280450.0	linoleic acid	Metabolite	338557	Q5NUL3	Membrane	sMOL-receptor interaction	Human	16702987	IUPHAR	LR08330	FFAR4
145	178100239	11005.0	myristic acid	Metabolite	338557	Q5NUL3	Membrane	sMOL-receptor interaction	Human	22282525	IUPHAR	LR08331	FFAR4
146	135651531	445639.0	oleic acid	Metabolite	338557	Q5NUL3	Membrane	sMOL-receptor interaction	Human	22282525	IUPHAR	LR08332	FFAR4
147	135652476	3081832.0	spinorphin	Peptide	2357	P21462	Membrane	sMOL-receptor interaction	Human	11714831;1373134	IUPHAR	LR08333	FPR1
148	178102864		PrP106-126	Peptide	2358	P25090	Membrane	sMOL-receptor interaction	Human	23549262	IUPHAR	LR08334	FPR2
149	178102860	16126783.0	aspirin-triggered resolvin D1	Metabolite	2358	P25090	Membrane	sMOL-receptor interaction	Human	22449948	IUPHAR	LR08335	FPR2
150	135651504	5280914.0	LXA4	Metabolite	2358	P25090	Membrane	sMOL-receptor interaction	Human	20080636	IUPHAR	LR08336	FPR2
151	178100762	73755062.0	resolvin D1	Metabolite	2358	P25090	Membrane	sMOL-receptor interaction	Human	20080636	IUPHAR	LR08337	FPR2
152	135651538	448457.0	PGD2	Metabolite	5737	P43088	Membrane	sMOL-receptor interaction	Human	12519077	IUPHAR	LR08339	PTGFR
153	135651539	5280360.0	PGE2	Metabolite	5737	P43088	Membrane	sMOL-receptor interaction	Human	10634944;12519077	IUPHAR	LR08340	PTGFR
154	135651540	5280363.0	PGF2alpha	Metabolite	5737	P43088	Membrane	sMOL-receptor interaction	Human	16604093;10634944;12519077	IUPHAR	LR08341	PTGFR
156	135651455	10133.0	chenodeoxycholic acid	Metabolite	151306	Q8TDU6	Membrane	sMOL-receptor interaction	Human	12419312	IUPHAR	LR08343	GPBAR1
157	135651459	221493.0	cholic acid	Metabolite	151306	Q8TDU6	Membrane	sMOL-receptor interaction	Human	12419312	IUPHAR	LR08344	GPBAR1
158	135651468	222528.0	deoxycholic acid	Metabolite	151306	Q8TDU6	Membrane	sMOL-receptor interaction	Human	12419312	IUPHAR	LR08345	GPBAR1
159	135651505	9903.0	lithocholic acid	Metabolite	151306	Q8TDU6	Membrane	sMOL-receptor interaction	Human	12419312	IUPHAR	LR08346	GPBAR1
160	135651381	5757.0	17beta-estradiol	Metabolite	2852	Q99527	Membrane	sMOL-receptor interaction	Human	15705806;15539556	IUPHAR	LR08347	GPER1
161	135651492	750.0	glycine	Metabolite	222545	Q5T6X5	Membrane	sMOL-receptor interaction	Human	15576628	IUPHAR	LR08348	GPRC6A
162	135651498	5950.0	L-alanine	Metabolite	222545	Q5T6X5	Membrane	sMOL-receptor interaction	Human	15576628	IUPHAR	LR08349	GPRC6A
163	135651500	6322.0	L-arginine	Metabolite	222545	Q5T6X5	Membrane	sMOL-receptor interaction	Human	15576628	IUPHAR	LR08350	GPRC6A
164	135650512	9750.0	L-citrulline	Synthetic organic	222545	Q5T6X5	Membrane	sMOL-receptor interaction	Human	15576628	IUPHAR	LR08351	GPRC6A
165	135651502	5961.0	L-glutamine	Metabolite	222545	Q5T6X5	Membrane	sMOL-receptor interaction	Human	15576628	IUPHAR	LR08352	GPRC6A
166	135651507	5962.0	L-lysine	Metabolite	222545	Q5T6X5	Membrane	sMOL-receptor interaction	Human	15576628	IUPHAR	LR08353	GPRC6A
167	135651508	6262.0	L-ornithine	Metabolite	222545	Q5T6X5	Membrane	sMOL-receptor interaction	Human	15576628	IUPHAR	LR08354	GPRC6A
168	135651510	5951.0	L-serine	Metabolite	222545	Q5T6X5	Membrane	sMOL-receptor interaction	Human	15576628	IUPHAR	LR08355	GPRC6A
169	381744893		mutant ANP	Peptide	4881	P16066	Membrane	sMOL-receptor interaction	Human	19729120	IUPHAR	LR08356	NPR1
170	135651506	107689.0	L-lactic acid	Metabolite	27198	Q9BXC0	Membrane	sMOL-receptor interaction	Human	18952058;19047060;20374963;23396314	IUPHAR	LR08357	HCAR1
171	135649984	92135.0	beta-D-hydroxybutyric acid	Synthetic organic	338442	Q8TDS4	Membrane	sMOL-receptor interaction	Human	15929991	IUPHAR	LR08358	HCAR2
172	135651406	11367166.0	3-hydroxyoctanoic acid	Metabolite	8843	P49019	Membrane	sMOL-receptor interaction	Human	19561068	IUPHAR	LR08359	HCAR3
173	135651493	774.0	histamine	Metabolite	3269	P35367	Membrane	sMOL-receptor interaction	Human	7925364;12065734;16394198;12626648;15206929	IUPHAR	LR08360	HRH1
174	135651493	774.0	histamine	Metabolite	11255	Q9Y5N1	Membrane	sMOL-receptor interaction	Human	10869375;11284713;11090094;12393057;11179434;14640553	IUPHAR	LR08361	HRH3
175	135651493	774.0	histamine	Metabolite	59340	Q9H3N8	Membrane	sMOL-receptor interaction	Human	11179434;11561071;11181941;11179436;15947036;16432504;15454206	IUPHAR	LR08362	HRH4
